,observation_date,boxrsa,chxrsa,daxrsa,dexrsa,lxxrsa,nyxrsa,phxrsa,sexrsa,sfxrsa,emp_rate,unemp_rate,gdp,inflation
0,2019-01-01,217.461609206391,143.998484901636,190.73187608597098,125.227685554677,282.869896660901,201.5939073641,189.062899581574,250.11099086165,263.92817469722803,71.03175,3.8499999999999996,20431.641,252.561
1,2019-02-01,217.33581902977699,144.26777552038402,191.07326317944,125.32706050306999,282.438210027151,202.08058479405898,189.57550794668202,249.474275297504,263.543428083116,71.06824,3.8499999999999996,20488.519,253.319
2,2019-03-01,218.372646069352,143.86753488988998,189.867935308457,125.390260959674,281.820521865503,200.89447408896302,189.60667606096297,248.348096486482,263.790054130808,71.05563000000001,3.8499999999999996,20545.397,254.277
3,2019-04-01,219.646360566484,144.168174829463,189.71526258613,125.840162811717,282.87098931753997,200.654031134744,190.048450262076,247.32855087219698,265.052762380677,71.1365,3.8499999999999996,20602.275,255.233
4,2019-05-01,219.963661299595,144.095882444945,189.761398840076,126.57051774293801,284.19950869341204,200.67134102683,190.48464528960702,247.79430279095402,265.101276305385,71.14388000000001,3.8499999999999996,20682.624,255.296
5,2019-06-01,221.364930995802,144.340302079538,189.946414267719,127.14695279550199,284.002941898482,200.52918132978198,191.384021043218,249.115225048175,266.121641290339,71.24558,3.8499999999999996,20762.973,255.213
6,2019-07-01,221.86512045490102,144.45888566202,190.476849665174,127.332627508615,283.907228960532,200.18104601987,192.52614501108002,251.088849867142,266.250876304678,71.26723,3.8499999999999996,20843.322,255.802
7,2019-08-01,222.691708982356,144.64701930862,191.131106831006,127.431737213825,284.909049007894,200.879803544458,193.843839273972,253.096205297005,267.06968752895403,71.41653000000001,3.8499999999999996,20890.697333333334,256.036
8,2019-09-01,222.48888878544602,144.01413855482,192.383451527715,127.85220886999599,286.997891456812,201.47621754372102,195.198799068357,255.20186185677102,267.061153101541,71.70953,3.5,20938.072666666667,256.43
9,2019-10-01,223.794771047537,144.126496931473,192.966658316078,127.89934424724,288.849387768269,202.212061269902,196.864478512135,256.93417006051897,267.696822698639,71.72038,3.6,20985.448,257.155
10,2019-11-01,225.566330312948,144.22416921892798,194.18604231916,128.29505640505502,290.755594134927,202.405450292966,198.649776022738,258.882710072512,269.17812225646,71.6908,3.6,20888.04466666667,257.879
11,2019-12-01,227.13568318811298,145.09671101240102,194.818587939288,128.98748009350598,291.86808612966,203.13712458357398,201.00997546749298,261.036382982435,271.471655239771,71.7007,3.6,20790.641333333333,258.63
12,2020-01-01,227.520268182881,144.653745481148,196.04456338497897,129.57924884395,292.83045746105,203.60033278805,202.54681533382802,263.339528144934,272.612173875841,71.76656,3.6,20693.238,258.906
13,2020-02-01,228.046287077492,145.306053011956,196.118558110284,129.935301548289,293.082375163376,205.164957112648,204.1409010567,264.587663346208,273.307745198784,71.80195,3.5,20147.697666666667,259.246
14,2020-03-01,228.73323680689998,146.051196462879,195.248860404817,130.391252442562,293.497500572941,204.801123497959,205.17158557853298,265.28009988213796,273.32676861626703,70.5088,4.4,19602.157333333333,258.15
15,2020-04-01,228.796564452682,146.079898531612,194.915046499645,130.247044674501,293.737211570646,204.59352079886798,206.768290134625,264.783511146008,271.506679180966,60.165490000000005,14.8,19056.617,256.126
16,2020-05-01,228.917033793868,145.91148293810102,194.781225646595,130.072400876395,293.531842566772,204.055227872658,207.271828061963,264.31382481612803,270.37186368034503,62.23685,13.2,19554.009,255.848
17,2020-06-01,228.820300098674,145.055568701607,195.332149228259,130.874763499043,294.48636217311,204.07383071100497,208.11827241520803,265.319964209767,269.864557315437,64.78485,11.0,20051.401,257.004
18,2020-07-01,231.47712016771598,146.248913199284,196.272610367314,132.40635675634502,298.768598604799,204.64547619946998,209.911610133722,268.78657185112803,273.328669860271,65.38790999999999,10.2,20548.793,258.408
19,2020-08-01,235.361727762364,148.342756963313,198.903433252858,134.101762025754,304.406942838385,207.97929241900798,212.70450514083,274.954684924641,278.575603048288,66.8568,8.4,20623.092333333334,259.366
20,2020-09-01,239.881969050446,150.710903170821,201.867435799588,135.975196371766,309.25889543966497,211.70497103374802,217.413757440486,281.581908824415,284.311357565299,66.91450999999999,7.8,20697.391666666666,259.951
21,2020-10-01,245.006872982538,152.63368948385,205.755827474604,138.06148975853998,313.502371273461,216.015058781859,221.98613089363,287.441403478534,289.87731512185,67.90777,6.8,20771.691,260.249
22,2020-11-01,249.405248795387,154.155879002755,208.617639585084,140.067550605641,317.536469667696,220.58456774712602,226.33655600743802,292.26065080831404,293.50275070738,67.81339,6.7,20867.253666666667,260.895
23,2020-12-01,253.415748835078,155.646449554231,211.656039057056,142.053975882942,321.81708953035997,224.32886283432597,230.51774176317997,297.143777976203,297.02519181075803,67.9566,6.7,20962.816333333332,262.005
24,2021-01-01,256.76741153352003,157.104349612781,214.56644680401797,143.914957016842,325.256121777194,227.820040977182,235.199444822505,301.647034421885,300.848356404305,68.19832,6.4,21058.379,262.518
25,2021-02-01,259.535578186352,157.92983059388,217.742994375205,145.32613914270001,328.519040215266,230.58895925442403,240.064510728107,306.57485628216097,303.514479597845,68.46061999999999,6.2,21168.587666666666,263.583
26,2021-03-01,262.782669583606,159.250488828789,221.47406071273997,146.431743696413,332.610442575533,232.522727077748,246.48615723780202,313.028451675694,306.34684968166,68.58125,6.1,21278.796333333335,264.91
27,2021-04-01,265.43022903600297,160.633687469984,225.704894918224,147.982393463303,336.423999241743,234.847671245472,252.895467605916,318.926769411417,311.672990847844,68.64259,6.1,21389.005,266.752
28,2021-05-01,268.166926857934,162.11644210942302,230.278312501925,149.862830860863,342.54712032712797,237.508489595923,260.38728915637,325.564615871877,318.621115432906,68.97341,5.8,21449.810333333335,268.452
29,2021-06-01,270.84501824551,163.61795328220302,236.255349910416,151.858728528879,348.835771900052,240.006083651782,268.378067677977,331.590694563839,328.06458339306704,69.10672,5.9,21510.615666666665,270.664
30,2021-07-01,274.456074793567,165.092550492081,242.242616755493,153.684290428869,355.249404833472,242.241059370516,277.440860769642,337.329041560046,332.716357568106,69.67381,5.4,21571.421,271.994
31,2021-08-01,276.921552507265,166.694261363205,247.624250395924,155.16923714383302,360.517964990932,244.47804125101,283.217467055851,342.068861807105,337.745733050163,69.68026,5.1,21701.076666666664,272.789
32,2021-09-01,280.27248065476897,168.280632196329,252.361439815729,156.48528599533302,366.266293015486,246.524039704449,289.086466573057,347.44644266668405,340.862329273372,69.93211,4.7,21830.732333333333,273.887
33,2021-10-01,282.128781710478,169.92247963980302,256.639244870308,157.821684556105,372.244845059505,248.621400257599,293.814404225112,353.18320378895106,344.104383691751,70.22375,4.5,21960.388,276.434
34,2021-11-01,283.33619250870703,171.958057568142,261.35820756605096,159.286146610953,378.463269147485,251.214153714761,299.57621951607103,360.711706644923,347.574884406873,70.62595999999999,4.1,21941.541999999998,278.799
35,2021-12-01,287.773940636947,174.527573151051,267.180208271928,161.496297404669,384.005720020561,254.614963076365,306.029455087824,369.060519571726,354.046778263585,70.84021,3.9,21922.696,280.808
36,2022-01-01,291.234589239208,176.427524937247,273.789706385406,163.58026307073,390.430188615401,257.709616095451,312.394690738502,376.70323317099,364.653802747254,70.72964,4.0,21903.85,282.39
37,2022-02-01,297.558007170066,178.91403123278,280.887784764909,165.55305047203,401.108220915216,261.956526022278,319.343147198647,388.292117087259,373.02803953583395,70.89491,3.8,21908.974,284.535
38,2022-03-01,301.448699787724,179.801954854003,289.568017028234,168.759362397016,409.44493798877295,265.469547004539,326.460875061018,399.263332926692,379.532570773098,71.21651,3.6,21914.098,287.553
39,2022-04-01,305.226302692394,181.41746779487,295.539866457925,170.409912614958,414.488383691409,269.503785966118,331.935442434952,401.54105099320503,381.822025012307,71.19196,3.7,21919.222,288.764
40,2022-05-01,309.767342690058,183.02212215318698,300.54322233955503,171.388903886073,417.31996366619904,272.515880038427,337.441647503318,401.082312866063,383.701865105809,71.3602,3.6,21968.409333333333,291.359
41,2022-06-01,310.934168044029,184.906991737636,302.213886076963,171.287132610247,415.24171006666097,275.683960774119,339.011558497183,394.630795011732,379.756478638046,71.23302,3.6,22017.596666666668,294.996
42,2022-07-01,310.72327923618695,185.80596784931703,301.475765688085,170.881331002233,410.261907170575,275.812977923048,338.804320366943,386.132479660716,367.927263997156,71.32458000000001,3.5,22066.784,294.977
43,2022-08-01,308.334323421477,185.411883518599,297.227789496556,170.093810225025,403.758989158093,275.687366689537,331.059425366132,375.824023437696,356.40739853776,71.48501999999999,3.6,22127.675666666666,295.209
44,2022-09-01,305.002667964917,185.034323555025,293.405597450671,168.954160404013,399.036365644432,274.340479085055,325.335399103139,369.33897061274,348.905917363293,71.41754,3.5,22188.567333333332,296.341
45,2022-10-01,303.749936262356,184.963186019414,291.559177904869,168.808303035496,397.585525111391,273.699581350565,322.025374907368,369.28946997620596,346.570777114294,71.30691999999999,3.6,22249.459,297.863
46,2022-11-01,303.21428308215303,185.41332786936698,290.44094284231005,169.111718208516,395.859782317305,273.784564842843,318.74244427496495,366.24178981569,342.46226520560504,71.31096,3.6,22300.784333333333,298.648
47,2022-12-01,303.15301659529,184.83318487881698,288.81697590564204,168.830839743903,394.763737796223,273.731660915158,315.480612537225,362.83619000274103,339.83602091282995,71.63843,3.5,22352.109666666667,298.812
48,2023-01-01,303.81416557565,185.157355525211,287.909305920424,168.997470564691,394.67423755927297,274.011396377024,312.590006839958,358.248666028814,336.974627538971,71.68861,3.4,22403.435,300.356
